ID	Character	Next Dialogue	Spanish	English
0	Nabucodonosor	1	/emote:Feliz/Hola jugador, agradezco tanto que hayas descargado esta /color:#2fd91b/alpha	/emote:Feliz/Hello player! thanks for downloading this /color:#2fd91b/alpha
1	Nabucodonosor	2	/emote:Feliz/Estoy muy agradecido por tú apoyo a este videojuego	/emote:Feliz/I'm thankful of your support to this videogame
2	Nabucodonosor	3	Si quieren, por favor siganme en /color:#2ab3e5/“twiterend” /color:#ffffff/por si quieren ver mi desarrollo	If you want, please follow me on /color:#2ab3e5/“twiterend” /color:#ffffff/if you want to see my development
3	Nabucodonosor	4	Ahí escribo muchas cosas sobre el desarrollo y… ¿ya dije lo agradecido que estoy?	I write stuff about the development there and… ¿i already said that i'm thankful?
4	Nabucodonosor	5	Una disculpa si no he podido terminar mucho estos últimos meses, es que estoy atorado con un horrendo /color:#2fd91b/glitch/color:#ffffff/ que hace que los personajes tengan epilepsia y parpadeen en pantalla, /wait:1.5f/no sé por qué	Sorry for not finishing much this month, i'm stuck with a horrible /color:#2fd91b/glitch/color:#ffffff/ que hace que los personajes tengan epilepsia y parpadeen en pantalla, /wait:1.5f/no sé por qué
5	Nabucodonosor	6	Pero les prometo que podré arreglarlo, en verdad se los prometo, tendré muchos avances	But i promise that i will fix it, i really promise, i'll have many progress!
6	Nabucodonosor	7	Bueno, no olviden apoyarme siguiéndome en /color:#2ab3e5/“Twitterend”	Well, don't forget to support me following me on /color:#2ab3e5/“Twitterend”
7	Nabucodonosor	8	/emote:Perturbado/Ay, creo que estoy pidiendo demasiado, seguro quieren jugar el juego ahora	/emote:Perturbado/Oops, i think i'm asking for too much, i'm sure you want to play the game already
8	Nabucodonosor		/emote:Feliz/Pues, adelante	/emote:Feliz/Well, go ahead!
9	Carta de inicio	10	Hace cientos de miles de eones, antes que existiera el planeta actual, hubo una oscuridad consciente, la cual marcó la destrucción del universo como su único propósito	Thousands of eons ago, before the actual planet existed, there was a conscious darkness, which marked the destruction of earth as his only purpose.
